Time stamp,Paris Day text,Paris Day Type,Paris third,Instagram user,Instgram photo
"July 24, 2015 at 11:30AM",Friday,Weekday,12am - 8am,chrisrmitch,hi
"July 23, 2015 at 11:36PM",Thursday,Weekday,8am - 4pm,sadlyanna,hi
"July 24, 2015 at 07:40AM",Thursday,Weekday,4pm - 12am,anapau_mora,hi
"July 24, 2015 at 03:54AM",Thursday,Weekday,4pm - 12am,frolleinlari,hi
"July 24, 2015 at 11:48AM",Friday,Weekday,12am - 8am,mikitoozi,hi
"July 23, 2015 at 11:45AM",Thursday,Weekday,12am - 8am,gael0064,hi
"July 22, 2015 at 10:14AM",Wednesday,Weekday,12am - 8am,shivasherbaf,hi
"July 22, 2015 at 05:54PM",Wednesday,Weekday,12am - 8am,karinamorado,hi
"July 24, 2015 at 03:21PM",Friday,Weekday,12am - 8am,sarahninon,hi
"July 22, 2015 at 10:37PM",Wednesday,Weekday,8am - 4pm,yiannis_xatzigeorgiou,hi
"July 23, 2015 at 06:11PM",Thursday,Weekday,8am - 4pm,keren_ray_yoyoyo,hi
"July 23, 2015 at 10:50AM",Thursday,Weekday,12am - 8am,mollosespinosa,hi
"July 23, 2015 at 05:40PM",Thursday,Weekday,12am - 8am,g_o_k_t_u_r_k,hi
"July 23, 2015 at 02:06AM",Wednesday,Weekday,4pm - 12am,spartakvetal91,hi
"July 23, 2015 at 12:12PM",Thursday,Weekday,12am - 8am,caro_boz,hi
"July 22, 2015 at 09:05PM",Wednesday,Weekday,8am - 4pm,mike_jaidessinetaculotte,hi
"July 24, 2015 at 12:21PM",Friday,Weekday,12am - 8am,kailynnof,hi
"July 23, 2015 at 05:54PM",Thursday,Weekday,12am - 8am,babillages,hi
"July 23, 2015 at 05:44AM",Wednesday,Weekday,4pm - 12am,samuelgrants,hi
"July 24, 2015 at 05:48AM",Thursday,Weekday,4pm - 12am,anuta_helfrich,hi
"July 23, 2015 at 12:15AM",Wednesday,Weekday,8am - 4pm,coreydivine,hi
"July 23, 2015 at 09:25PM",Thursday,Weekday,8am - 4pm,johnrikley,hi
"July 23, 2015 at 08:32AM",Wednesday,Weekday,4pm - 12am,jackandmarisblog,hi
"July 24, 2015 at 11:16AM",Friday,Weekday,12am - 8am,annaispatriat,hi
"July 24, 2015 at 02:26PM",Friday,Weekday,12am - 8am,penguinsandcupcakes21,hi
"July 23, 2015 at 05:56PM",Thursday,Weekday,12am - 8am,3bod_a7md,hi
"July 23, 2015 at 03:31AM",Wednesday,Weekday,4pm - 12am,aininamhdnr,hi
"July 23, 2015 at 12:45PM",Thursday,Weekday,12am - 8am,mriveragz,hi
"July 22, 2015 at 07:04PM",Wednesday,Weekday,8am - 4pm,sunfor.me,hi
"July 23, 2015 at 08:03AM",Wednesday,Weekday,4pm - 12am,bluenord,hi
"July 24, 2015 at 12:07PM",Friday,Weekday,12am - 8am,alicia.khoo,hi
"July 22, 2015 at 11:57PM",Wednesday,Weekday,8am - 4pm,z_won_ee,hi
"July 24, 2015 at 04:00PM",Friday,Weekday,12am - 8am,matheusnechar,hi
"July 24, 2015 at 12:34AM",Thursday,Weekday,8am - 4pm,juillet__jung,hi
